,Date,^GSPC,^VIX,SP500_ret,VIX_change,SP500_vol_21d,VIX_level
571,2017-04-11,2353.780029296875,15.06999969482422,-0.001433879303282,0.0725978284870048,0.004086202262424115,15.06999969482422
572,2017-04-12,2344.929931640625,15.770000457763672,-0.0037599510345466,0.0464499520315098,0.0041009595682671655,15.770000457763672
573,2017-04-13,2328.949951171875,15.960000038146973,-0.0068146942273749,0.0120481658128146,0.0038033976048656485,15.960000038146973
574,2017-04-17,2349.010009765625,14.65999984741211,0.0086133489402193,-0.0814536458413316,0.004353225181237944,14.65999984741211
575,2017-04-18,2342.18994140625,14.420000076293944,-0.0029033798625895,-0.0163710623203403,0.00437922073447238,14.420000076293944
576,2017-04-19,2338.169921875,14.93000030517578,-0.0017163507793208,0.0353675607616854,0.004375358149789178,14.93000030517578
577,2017-04-20,2355.840087890625,14.149999618530272,0.0075572634179876,-0.0522438493437341,0.003841650955889574,14.149999618530272
578,2017-04-21,2348.68994140625,14.630000114440918,-0.0030350729326357,0.0339222974452986,0.0038863817844849344,14.630000114440918
579,2017-04-24,2374.14990234375,10.84000015258789,0.0108400689629795,-0.2590567281070633,0.00453559175885352,10.84000015258789
580,2017-04-25,2388.610107421875,10.760000228881836,0.006090687476747,-0.0073800666586666,0.0046770687963775,10.760000228881836
581,2017-04-26,2387.449951171875,10.850000381469728,-0.0004857034835427,0.0083643262707666,0.004667502977567721,10.850000381469728
582,2017-04-27,2388.77001953125,10.359999656677246,0.0005529198041311,-0.0451613555359253,0.004437424366761918,10.359999656677246
583,2017-04-28,2384.199951171875,10.81999969482422,-0.0019131470681601,0.0444015495551191,0.004469671365094747,10.81999969482422
584,2017-05-01,2388.330078125,10.109999656677246,0.0017322905115801,-0.0656192290362636,0.0044441716501694645,10.109999656677246
585,2017-05-02,2391.169921875,10.59000015258789,0.0011890499458222,0.0474777954709051,0.004404066891909101,10.59000015258789
586,2017-05-03,2388.1298828125,10.68000030517578,-0.0012713605313821,0.0084985978556286,0.004395450739969015,10.68000030517578
587,2017-05-04,2389.52001953125,10.460000038146973,0.000582102643895,-0.0205992753504128,0.004395443877678903,10.460000038146973
588,2017-05-05,2399.2900390625,10.56999969482422,0.0040886954080285,0.0105162195292622,0.0043749807292490965,10.56999969482422
589,2017-05-08,2399.3798828125,9.770000457763672,3.744597299082386e-05,-0.0756858335059631,0.004373027871372523,9.770000457763672
590,2017-05-09,2396.919921875,9.960000038146973,-0.0010252486299153,0.0194472437544583,0.004377034612344352,9.960000038146973
591,2017-05-10,2399.6298828125,10.210000038146973,0.0011306013658478,0.0251004015102906,0.004377337642070418,10.210000038146973
592,2017-05-11,2394.43994140625,10.600000381469728,-0.0021628091246167,0.0381978787331656,0.004399270326502517,10.600000381469728
593,2017-05-12,2390.89990234375,10.399999618530272,-0.0014784413679722,-0.0188679958247059,0.004307594466500101,10.399999618530272
594,2017-05-15,2402.320068359375,10.420000076293944,0.0047765136484509,0.0019231210093542,0.003996488899994156,10.420000076293944
595,2017-05-16,2400.669921875,10.649999618530272,-0.0006868970151433,0.0220728925673991,0.0036690344762520585,10.649999618530272
596,2017-05-17,2357.030029296875,15.59000015258789,-0.0181782144144334,0.4638498320189939,0.005531733268917235,15.59000015258789
